ID,date,day_name,month,month_name,quarter,quarter_name,year,year_name
107,7/20/19,Saturday,7,July,3,Q3,2019,2019
108,1/2/20,Thursday,1,January,1,Q1,2020,2020
109,3/26/19,Tuesday,3,March,1,Q1,2019,2019
110,2/11/19,Monday,2,February,1,Q1,2019,2019
111,9/30/19,Monday,9,September,3,Q3,2019,2019
112,2/12/20,Wednesday,2,February,1,Q1,2020,2020
113,9/17/19,Tuesday,9,September,3,Q3,2019,2019
114,10/28/19,Monday,10,October,4,Q4,2019,2019
115,12/4/19,Wednesday,12,December,4,Q4,2019,2019
116,12/9/19,Monday,12,December,4,Q4,2019,2019
117,9/2/19,Monday,9,September,3,Q3,2019,2019
118,4/2/19,Tuesday,4,April,2,Q2,2019,2019
119,1/12/20,Sunday,1,January,1,Q1,2020,2020
120,10/24/19,Thursday,10,October,4,Q4,2019,2019
121,1/14/20,Tuesday,1,January,1,Q1,2020,2020
122,4/5/19,Friday,4,April,2,Q2,2019,2019
123,5/26/19,Sunday,5,May,2,Q2,2019,2019
124,10/14/19,Monday,10,October,4,Q4,2019,2019
125,4/11/19,Thursday,4,April,2,Q2,2019,2019
126,12/11/19,Wednesday,12,December,4,Q4,2019,2019
127,8/13/19,Tuesday,8,August,3,Q3,2019,2019
128,1/26/20,Sunday,1,January,1,Q1,2020,2020
129,8/7/19,Wednesday,8,August,3,Q3,2019,2019
130,9/16/19,Monday,9,September,3,Q3,2019,2019
131,12/8/19,Sunday,12,December,4,Q4,2019,2019
132,5/22/19,Wednesday,5,May,2,Q2,2019,2019
133,5/11/19,Saturday,5,May,2,Q2,2019,2019
134,3/11/19,Monday,3,March,1,Q1,2019,2019
135,3/12/19,Tuesday,3,March,1,Q1,2019,2019
136,8/31/19,Saturday,8,August,3,Q3,2019,2019
137,7/21/19,Sunday,7,July,3,Q3,2019,2019
138,2/24/20,Monday,2,February,1,Q1,2020,2020
139,5/7/19,Tuesday,5,May,2,Q2,2019,2019
140,3/22/19,Friday,3,March,1,Q1,2019,2019
141,1/20/20,Monday,1,January,1,Q1,2020,2020
142,11/5/19,Tuesday,11,November,4,Q4,2019,2019
143,2/4/20,Tuesday,2,February,1,Q1,2020,2020
144,10/21/19,Monday,10,October,4,Q4,2019,2019
145,3/31/19,Sunday,3,March,1,Q1,2019,2019
146,8/16/19,Friday,8,August,3,Q3,2019,2019
147,7/27/19,Saturday,7,July,3,Q3,2019,2019
148,7/7/19,Sunday,7,July,3,Q3,2019,2019
149,3/10/19,Sunday,3,March,1,Q1,2019,2019
150,5/11/19,Saturday,5,May,2,Q2,2019,2019
151,6/12/19,Wednesday,6,June,2,Q2,2019,2019
152,11/16/19,Saturday,11,November,4,Q4,2019,2019
153,4/30/19,Tuesday,4,April,2,Q2,2019,2019
154,3/1/19,Friday,3,March,1,Q1,2019,2019
155,2/2/20,Sunday,2,February,1,Q1,2020,2020
156,4/4/19,Thursday,4,April,2,Q2,2019,2019
157,1/4/20,Saturday,1,January,1,Q1,2020,2020
158,6/11/19,Tuesday,6,June,2,Q2,2019,2019
159,11/21/19,Thursday,11,November,4,Q4,2019,2019
160,8/24/19,Saturday,8,August,3,Q3,2019,2019
161,9/26/19,Thursday,9,September,3,Q3,2019,2019
162,9/12/19,Thursday,9,September,3,Q3,2019,2019
163,10/1/19,Tuesday,10,October,4,Q4,2019,2019
164,7/6/19,Saturday,7,July,3,Q3,2019,2019
165,7/22/19,Monday,7,July,3,Q3,2019,2019
166,10/20/19,Sunday,10,October,4,Q4,2019,2019
167,11/28/19,Thursday,11,November,4,Q4,2019,2019
168,7/19/19,Friday,7,July,3,Q3,2019,2019
169,1/17/19,Thursday,1,January,1,Q1,2019,2019
170,7/28/19,Sunday,7,July,3,Q3,2019,2019
171,7/26/19,Friday,7,July,3,Q3,2019,2019
172,5/26/19,Sunday,5,May,2,Q2,2019,2019
173,9/30/19,Monday,9,September,3,Q3,2019,2019
174,10/25/19,Friday,10,October,4,Q4,2019,2019
175,8/22/19,Thursday,8,August,3,Q3,2019,2019
176,3/19/20,Thursday,3,March,1,Q1,2020,2020
177,3/8/19,Friday,3,March,1,Q1,2019,2019
178,9/15/19,Sunday,9,September,3,Q3,2019,2019
179,3/8/20,Sunday,3,March,1,Q1,2020,2020
180,12/5/19,Thursday,12,December,4,Q4,2019,2019
181,6/20/19,Thursday,6,June,2,Q2,2019,2019
182,10/31/19,Thursday,10,October,4,Q4,2019,2019
183,1/1/20,Wednesday,1,January,1,Q1,2020,2020
184,1/14/20,Tuesday,1,January,1,Q1,2020,2020
185,12/19/19,Thursday,12,December,4,Q4,2019,2019
186,10/18/19,Friday,10,October,4,Q4,2019,2019
187,5/3/19,Friday,5,May,2,Q2,2019,2019
188,2/4/19,Monday,2,February,1,Q1,2019,2019
189,2/4/19,Monday,2,February,1,Q1,2019,2019
190,5/13/19,Monday,5,May,2,Q2,2019,2019
191,12/4/19,Wednesday,12,December,4,Q4,2019,2019
192,4/15/19,Monday,4,April,2,Q2,2019,2019
193,6/29/19,Saturday,6,June,2,Q2,2019,2019
194,6/15/19,Saturday,6,June,2,Q2,2019,2019
195,2/23/20,Sunday,2,February,1,Q1,2020,2020
196,12/15/19,Sunday,12,December,4,Q4,2019,2019
197,5/16/19,Thursday,5,May,2,Q2,2019,2019
198,10/25/19,Friday,10,October,4,Q4,2019,2019
199,7/4/19,Thursday,7,July,3,Q3,2019,2019
200,8/4/19,Sunday,8,August,3,Q3,2019,2019
201,4/29/19,Monday,4,April,2,Q2,2019,2019
202,1/18/20,Saturday,1,January,1,Q1,2020,2020
203,4/29/19,Monday,4,April,2,Q2,2019,2019
204,5/26/19,Sunday,5,May,2,Q2,2019,2019
205,10/31/19,Thursday,10,October,4,Q4,2019,2019
206,10/23/19,Wednesday,10,October,4,Q4,2019,2019
207,4/9/19,Tuesday,4,April,2,Q2,2019,2019
208,4/24/19,Wednesday,4,April,2,Q2,2019,2019
209,3/8/19,Friday,3,March,1,Q1,2019,2019
210,6/12/19,Wednesday,6,June,2,Q2,2019,2019
211,2/21/19,Thursday,2,February,1,Q1,2019,2019
212,7/28/19,Sunday,7,July,3,Q3,2019,2019
213,10/7/19,Monday,10,October,4,Q4,2019,2019
214,9/22/19,Sunday,9,September,3,Q3,2019,2019
215,12/13/19,Friday,12,December,4,Q4,2019,2019
216,10/24/19,Thursday,10,October,4,Q4,2019,2019
217,7/13/19,Saturday,7,July,3,Q3,2019,2019
218,12/28/19,Saturday,12,December,4,Q4,2019,2019
219,7/24/19,Wednesday,7,July,3,Q3,2019,2019
220,11/26/19,Tuesday,11,November,4,Q4,2019,2019
221,12/6/19,Friday,12,December,4,Q4,2019,2019
222,12/18/19,Wednesday,12,December,4,Q4,2019,2019
223,4/16/19,Tuesday,4,April,2,Q2,2019,2019
224,8/30/19,Friday,8,August,3,Q3,2019,2019
225,8/3/19,Saturday,8,August,3,Q3,2019,2019
226,2/22/20,Saturday,2,February,1,Q1,2020,2020
227,9/11/19,Wednesday,9,September,3,Q3,2019,2019
228,9/16/19,Monday,9,September,3,Q3,2019,2019
229,9/17/19,Tuesday,9,September,3,Q3,2019,2019
230,1/30/20,Thursday,1,January,1,Q1,2020,2020
231,12/16/19,Monday,12,December,4,Q4,2019,2019
232,4/13/19,Saturday,4,April,2,Q2,2019,2019
233,1/25/19,Friday,1,January,1,Q1,2019,2019
234,5/10/19,Friday,5,May,2,Q2,2019,2019
235,12/14/19,Saturday,12,December,4,Q4,2019,2019
236,2/12/19,Tuesday,2,February,1,Q1,2019,2019
237,10/31/19,Thursday,10,October,4,Q4,2019,2019
238,12/24/19,Tuesday,12,December,4,Q4,2019,2019
239,9/30/19,Monday,9,September,3,Q3,2019,2019
240,11/1/19,Friday,11,November,4,Q4,2019,2019
241,12/16/19,Monday,12,December,4,Q4,2019,2019
242,12/30/19,Monday,12,December,4,Q4,2019,2019
243,1/26/20,Sunday,1,January,1,Q1,2020,2020
244,10/3/19,Thursday,10,October,4,Q4,2019,2019
245,3/12/19,Tuesday,3,March,1,Q1,2019,2019
246,4/21/19,Sunday,4,April,2,Q2,2019,2019
247,8/30/19,Friday,8,August,3,Q3,2019,2019
248,2/25/19,Monday,2,February,1,Q1,2019,2019
249,10/21/19,Monday,10,October,4,Q4,2019,2019
250,8/31/19,Saturday,8,August,3,Q3,2019,2019
251,5/30/19,Thursday,5,May,2,Q2,2019,2019
252,9/24/19,Tuesday,9,September,3,Q3,2019,2019
253,4/9/19,Tuesday,4,April,2,Q2,2019,2019
254,12/10/19,Tuesday,12,December,4,Q4,2019,2019
255,4/24/19,Wednesday,4,April,2,Q2,2019,2019
256,5/3/19,Friday,5,May,2,Q2,2019,2019
257,7/28/19,Sunday,7,July,3,Q3,2019,2019
258,10/2/19,Wednesday,10,October,4,Q4,2019,2019
259,3/13/19,Wednesday,3,March,1,Q1,2019,2019
260,7/4/19,Thursday,7,July,3,Q3,2019,2019
261,8/5/19,Monday,8,August,3,Q3,2019,2019
262,12/19/19,Thursday,12,December,4,Q4,2019,2019
263,12/31/19,Tuesday,12,December,4,Q4,2019,2019
264,10/28/19,Monday,10,October,4,Q4,2019,2019
265,4/19/19,Friday,4,April,2,Q2,2019,2019
266,7/10/19,Wednesday,7,July,3,Q3,2019,2019
267,11/10/19,Sunday,11,November,4,Q4,2019,2019
268,1/16/20,Thursday,1,January,1,Q1,2020,2020
269,6/18/19,Tuesday,6,June,2,Q2,2019,2019
270,4/13/19,Saturday,4,April,2,Q2,2019,2019
271,11/16/19,Saturday,11,November,4,Q4,2019,2019
272,7/30/19,Tuesday,7,July,3,Q3,2019,2019
273,9/9/19,Monday,9,September,3,Q3,2019,2019
274,2/10/20,Monday,2,February,1,Q1,2020,2020
275,10/20/19,Sunday,10,October,4,Q4,2019,2019
276,3/8/19,Friday,3,March,1,Q1,2019,2019
277,10/9/19,Wednesday,10,October,4,Q4,2019,2019
278,11/4/19,Monday,11,November,4,Q4,2019,2019
279,11/3/19,Sunday,11,November,4,Q4,2019,2019
280,3/11/19,Monday,3,March,1,Q1,2019,2019
281,10/11/19,Friday,10,October,4,Q4,2019,2019
282,12/21/19,Saturday,12,December,4,Q4,2019,2019
283,3/18/19,Monday,3,March,1,Q1,2019,2019
284,1/25/20,Saturday,1,January,1,Q1,2020,2020
285,1/22/20,Wednesday,1,January,1,Q1,2020,2020
286,4/28/19,Sunday,4,April,2,Q2,2019,2019
287,4/20/19,Saturday,4,April,2,Q2,2019,2019
288,9/24/19,Tuesday,9,September,3,Q3,2019,2019
289,9/4/19,Wednesday,9,September,3,Q3,2019,2019
290,6/29/19,Saturday,6,June,2,Q2,2019,2019
291,2/14/20,Friday,2,February,1,Q1,2020,2020
292,1/19/20,Sunday,1,January,1,Q1,2020,2020
293,11/13/19,Wednesday,11,November,4,Q4,2019,2019
294,3/16/19,Saturday,3,March,1,Q1,2019,2019
295,7/11/19,Thursday,7,July,3,Q3,2019,2019
296,8/3/19,Saturday,8,August,3,Q3,2019,2019
297,11/17/19,Sunday,11,November,4,Q4,2019,2019
298,10/12/19,Saturday,10,October,4,Q4,2019,2019
299,8/1/19,Thursday,8,August,3,Q3,2019,2019
300,7/22/19,Monday,7,July,3,Q3,2019,2019
301,4/15/19,Monday,4,April,2,Q2,2019,2019
302,4/30/19,Tuesday,4,April,2,Q2,2019,2019
303,9/4/19,Wednesday,9,September,3,Q3,2019,2019
304,9/23/19,Monday,9,September,3,Q3,2019,2019
305,9/17/19,Tuesday,9,September,3,Q3,2019,2019
306,6/21/19,Friday,6,June,2,Q2,2019,2019
307,2/13/19,Wednesday,2,February,1,Q1,2019,2019
308,4/8/19,Monday,4,April,2,Q2,2019,2019
309,9/4/19,Wednesday,9,September,3,Q3,2019,2019
310,11/25/19,Monday,11,November,4,Q4,2019,2019
311,11/17/19,Sunday,11,November,4,Q4,2019,2019
312,1/18/20,Saturday,1,January,1,Q1,2020,2020
313,6/19/19,Wednesday,6,June,2,Q2,2019,2019
314,11/24/19,Sunday,11,November,4,Q4,2019,2019
315,12/30/19,Monday,12,December,4,Q4,2019,2019
316,9/19/19,Thursday,9,September,3,Q3,2019,2019
317,4/6/19,Saturday,4,April,2,Q2,2019,2019
318,11/27/19,Wednesday,11,November,4,Q4,2019,2019
319,12/4/19,Wednesday,12,December,4,Q4,2019,2019
320,6/17/19,Monday,6,June,2,Q2,2019,2019
321,2/26/19,Tuesday,2,February,1,Q1,2019,2019
322,2/3/19,Sunday,2,February,1,Q1,2019,2019
323,1/15/20,Wednesday,1,January,1,Q1,2020,2020
324,2/18/19,Monday,2,February,1,Q1,2019,2019
325,6/17/19,Monday,6,June,2,Q2,2019,2019
326,5/26/19,Sunday,5,May,2,Q2,2019,2019
327,5/27/19,Monday,5,May,2,Q2,2019,2019
328,6/7/19,Friday,6,June,2,Q2,2019,2019
329,6/27/19,Thursday,6,June,2,Q2,2019,2019
330,3/10/19,Sunday,3,March,1,Q1,2019,2019
331,1/18/20,Saturday,1,January,1,Q1,2020,2020
332,3/14/19,Thursday,3,March,1,Q1,2019,2019
333,8/20/19,Tuesday,8,August,3,Q3,2019,2019
334,12/19/19,Thursday,12,December,4,Q4,2019,2019
335,8/12/19,Monday,8,August,3,Q3,2019,2019
336,8/5/19,Monday,8,August,3,Q3,2019,2019
337,10/1/19,Tuesday,10,October,4,Q4,2019,2019
338,8/12/19,Monday,8,August,3,Q3,2019,2019
339,8/16/19,Friday,8,August,3,Q3,2019,2019
340,4/12/19,Friday,4,April,2,Q2,2019,2019
341,5/3/19,Friday,5,May,2,Q2,2019,2019
342,6/24/19,Monday,6,June,2,Q2,2019,2019
343,6/24/19,Monday,6,June,2,Q2,2019,2019
344,10/26/19,Saturday,10,October,4,Q4,2019,2019
345,7/19/19,Friday,7,July,3,Q3,2019,2019
346,12/9/19,Monday,12,December,4,Q4,2019,2019
347,1/29/20,Wednesday,1,January,1,Q1,2020,2020
348,11/16/19,Saturday,11,November,4,Q4,2019,2019
349,2/18/19,Monday,2,February,1,Q1,2019,2019
350,6/1/19,Saturday,6,June,2,Q2,2019,2019
351,6/22/19,Saturday,6,June,2,Q2,2019,2019
352,11/1/19,Friday,11,November,4,Q4,2019,2019
353,3/18/19,Monday,3,March,1,Q1,2019,2019
354,5/2/19,Thursday,5,May,2,Q2,2019,2019
355,6/30/19,Sunday,6,June,2,Q2,2019,2019
356,9/29/19,Sunday,9,September,3,Q3,2019,2019
357,7/31/19,Wednesday,7,July,3,Q3,2019,2019
358,10/29/19,Tuesday,10,October,4,Q4,2019,2019
359,2/12/19,Tuesday,2,February,1,Q1,2019,2019
360,3/24/19,Sunday,3,March,1,Q1,2019,2019
361,12/20/19,Friday,12,December,4,Q4,2019,2019
362,8/3/19,Saturday,8,August,3,Q3,2019,2019
363,1/1/20,Wednesday,1,January,1,Q1,2020,2020
364,9/9/19,Monday,9,September,3,Q3,2019,2019
365,9/10/19,Tuesday,9,September,3,Q3,2019,2019
366,1/15/20,Wednesday,1,January,1,Q1,2020,2020
367,3/27/19,Wednesday,3,March,1,Q1,2019,2019
368,8/21/19,Wednesday,8,August,3,Q3,2019,2019
369,7/5/19,Friday,7,July,3,Q3,2019,2019
370,3/13/19,Wednesday,3,March,1,Q1,2019,2019
371,4/16/19,Tuesday,4,April,2,Q2,2019,2019
372,11/30/19,Saturday,11,November,4,Q4,2019,2019
373,11/14/19,Thursday,11,November,4,Q4,2019,2019
374,5/5/19,Sunday,5,May,2,Q2,2019,2019
375,2/17/19,Sunday,2,February,1,Q1,2019,2019
376,2/12/19,Tuesday,2,February,1,Q1,2019,2019
377,6/20/19,Thursday,6,June,2,Q2,2019,2019
378,7/16/19,Tuesday,7,July,3,Q3,2019,2019
379,9/16/19,Monday,9,September,3,Q3,2019,2019
380,7/26/19,Friday,7,July,3,Q3,2019,2019
381,3/8/19,Friday,3,March,1,Q1,2019,2019
382,7/8/19,Monday,7,July,3,Q3,2019,2019
383,3/17/19,Sunday,3,March,1,Q1,2019,2019
384,6/28/19,Friday,6,June,2,Q2,2019,2019
385,10/16/19,Wednesday,10,October,4,Q4,2019,2019
386,9/3/19,Tuesday,9,September,3,Q3,2019,2019
387,3/25/19,Monday,3,March,1,Q1,2019,2019
388,5/15/19,Wednesday,5,May,2,Q2,2019,2019
389,11/26/19,Tuesday,11,November,4,Q4,2019,2019
390,9/22/19,Sunday,9,September,3,Q3,2019,2019
391,2/7/19,Thursday,2,February,1,Q1,2019,2019
392,3/17/20,Tuesday,3,March,1,Q1,2020,2020
393,6/14/19,Friday,6,June,2,Q2,2019,2019
394,4/14/19,Sunday,4,April,2,Q2,2019,2019
395,1/18/20,Saturday,1,January,1,Q1,2020,2020
396,12/19/19,Thursday,12,December,4,Q4,2019,2019
397,1/22/20,Wednesday,1,January,1,Q1,2020,2020
398,3/20/19,Wednesday,3,March,1,Q1,2019,2019
399,12/6/19,Friday,12,December,4,Q4,2019,2019
400,12/17/19,Tuesday,12,December,4,Q4,2019,2019
401,11/12/19,Tuesday,11,November,4,Q4,2019,2019
402,11/8/19,Friday,11,November,4,Q4,2019,2019
403,10/7/19,Monday,10,October,4,Q4,2019,2019
404,10/25/19,Friday,10,October,4,Q4,2019,2019
405,9/18/19,Wednesday,9,September,3,Q3,2019,2019
406,5/23/19,Thursday,5,May,2,Q2,2019,2019
407,10/10/19,Thursday,10,October,4,Q4,2019,2019
408,8/22/19,Thursday,8,August,3,Q3,2019,2019
409,8/13/19,Tuesday,8,August,3,Q3,2019,2019
410,2/19/19,Tuesday,2,February,1,Q1,2019,2019
411,11/29/19,Friday,11,November,4,Q4,2019,2019
412,10/25/19,Friday,10,October,4,Q4,2019,2019
413,12/25/19,Wednesday,12,December,4,Q4,2019,2019
414,11/1/19,Friday,11,November,4,Q4,2019,2019
415,9/27/19,Friday,9,September,3,Q3,2019,2019
416,10/2/19,Wednesday,10,October,4,Q4,2019,2019
417,11/14/19,Thursday,11,November,4,Q4,2019,2019
418,1/28/20,Tuesday,1,January,1,Q1,2020,2020
419,2/14/19,Thursday,2,February,1,Q1,2019,2019
420,1/21/20,Tuesday,1,January,1,Q1,2020,2020
421,7/18/19,Thursday,7,July,3,Q3,2019,2019
422,8/3/19,Saturday,8,August,3,Q3,2019,2019
423,10/7/19,Monday,10,October,4,Q4,2019,2019
424,12/24/19,Tuesday,12,December,4,Q4,2019,2019
425,9/20/19,Friday,9,September,3,Q3,2019,2019
426,4/1/19,Monday,4,April,2,Q2,2019,2019
427,9/20/19,Friday,9,September,3,Q3,2019,2019
428,11/9/19,Saturday,11,November,4,Q4,2019,2019
429,12/19/19,Thursday,12,December,4,Q4,2019,2019
430,6/26/19,Wednesday,6,June,2,Q2,2019,2019
431,4/23/19,Tuesday,4,April,2,Q2,2019,2019
432,5/20/19,Monday,5,May,2,Q2,2019,2019
433,4/26/19,Friday,4,April,2,Q2,2019,2019
434,7/22/19,Monday,7,July,3,Q3,2019,2019
435,11/8/19,Friday,11,November,4,Q4,2019,2019
436,11/3/19,Sunday,11,November,4,Q4,2019,2019
437,9/29/19,Sunday,9,September,3,Q3,2019,2019
438,12/19/19,Thursday,12,December,4,Q4,2019,2019
439,8/21/19,Wednesday,8,August,3,Q3,2019,2019
440,9/30/19,Monday,9,September,3,Q3,2019,2019
441,9/22/19,Sunday,9,September,3,Q3,2019,2019
442,12/8/19,Sunday,12,December,4,Q4,2019,2019
443,11/22/19,Friday,11,November,4,Q4,2019,2019
444,12/1/19,Sunday,12,December,4,Q4,2019,2019
445,4/11/19,Thursday,4,April,2,Q2,2019,2019
446,3/17/19,Sunday,3,March,1,Q1,2019,2019
447,8/1/19,Thursday,8,August,3,Q3,2019,2019
448,5/30/19,Thursday,5,May,2,Q2,2019,2019
449,3/12/19,Tuesday,3,March,1,Q1,2019,2019
450,11/1/19,Friday,11,November,4,Q4,2019,2019
451,7/13/19,Saturday,7,July,3,Q3,2019,2019
452,8/9/19,Friday,8,August,3,Q3,2019,2019
453,1/13/19,Sunday,1,January,1,Q1,2019,2019
454,4/18/19,Thursday,4,April,2,Q2,2019,2019
455,1/5/20,Sunday,1,January,1,Q1,2020,2020
456,11/18/19,Monday,11,November,4,Q4,2019,2019
457,8/9/19,Friday,8,August,3,Q3,2019,2019
458,2/11/20,Tuesday,2,February,1,Q1,2020,2020
459,6/26/19,Wednesday,6,June,2,Q2,2019,2019
460,5/4/19,Saturday,5,May,2,Q2,2019,2019
461,7/16/19,Tuesday,7,July,3,Q3,2019,2019
462,3/18/20,Wednesday,3,March,1,Q1,2020,2020
463,12/7/19,Saturday,12,December,4,Q4,2019,2019
464,7/8/19,Monday,7,July,3,Q3,2019,2019
465,6/8/19,Saturday,6,June,2,Q2,2019,2019
466,8/24/19,Saturday,8,August,3,Q3,2019,2019
467,9/10/19,Tuesday,9,September,3,Q3,2019,2019
468,10/11/19,Friday,10,October,4,Q4,2019,2019
469,12/1/19,Sunday,12,December,4,Q4,2019,2019
470,11/18/19,Monday,11,November,4,Q4,2019,2019
471,12/30/19,Monday,12,December,4,Q4,2019,2019
472,5/11/19,Saturday,5,May,2,Q2,2019,2019
473,4/11/19,Thursday,4,April,2,Q2,2019,2019
474,4/13/19,Saturday,4,April,2,Q2,2019,2019
475,12/7/19,Saturday,12,December,4,Q4,2019,2019
476,5/17/19,Friday,5,May,2,Q2,2019,2019
477,4/6/19,Saturday,4,April,2,Q2,2019,2019
478,11/8/19,Friday,11,November,4,Q4,2019,2019
479,6/21/19,Friday,6,June,2,Q2,2019,2019
480,12/25/19,Wednesday,12,December,4,Q4,2019,2019
481,9/15/19,Sunday,9,September,3,Q3,2019,2019
