Sale_details_ID,Sale_ID,Product_line_id,Quantity,Unit_price,Tax 5%
167,234-65-2137,1,10,95.58,47.79
168,687-47-8271,1,10,98.98,49.49
169,796-32-9050,1,6,51.28,15.384
170,105-31-1824,2,7,69.52,24.332
171,249-42-3782,2,5,70.01,17.5025
172,316-55-4634,2,5,80.05,20.0125
173,733-33-4967,2,8,20.85,8.34
174,608-27-6295,2,6,52.89,15.867
175,414-12-7047,2,8,19.79,7.916
176,827-26-2100,2,9,33.84,15.228
177,175-54-2529,2,8,22.17,8.868
178,139-52-2867,2,7,22.51,7.8785
179,407-63-8975,2,6,73.88,22.164
180,342-65-4817,2,3,86.8,13.02
181,130-98-8941,2,7,64.26,22.491
182,434-83-9547,2,8,38.47,15.388
183,851-28-6367,2,10,15.5,7.75
184,824-88-3614,2,8,34.31,13.724
185,586-25-0848,2,7,12.34,4.319
186,895-66-0685,2,3,18.08,2.712
187,305-14-0245,2,8,94.49,37.796
188,732-04-5373,2,4,46.47,9.294
189,400-60-7251,2,1,74.07,3.7035
190,593-65-1552,2,4,69.81,13.962
191,284-34-9626,2,3,77.04,11.556
192,437-58-8131,2,2,73.52,7.352
193,286-43-6208,2,9,87.8,39.51
194,641-43-2399,2,4,25.55,5.11
195,831-07-6050,2,5,32.71,8.1775
196,556-86-3144,2,1,74.29,3.7145
197,848-24-9445,2,2,43.7,4.37
198,856-22-8149,2,1,25.29,1.2645
199,699-01-4164,2,4,41.5,8.3
200,420-11-4919,2,5,71.39,17.8475
201,606-80-4905,2,6,19.15,5.745
202,542-41-0513,2,4,57.49,11.498
203,426-39-2418,2,7,61.41,21.4935
204,875-46-5808,2,10,25.9,12.95
205,394-43-4238,2,5,17.77,4.4425
206,749-24-1565,2,9,23.03,10.3635
207,672-51-8681,2,9,66.65,29.9925
208,263-87-5680,2,10,28.53,14.265
209,573-58-9734,2,3,30.37,4.5555
210,817-69-8206,2,9,99.73,44.8785
211,888-02-0338,2,9,26.23,11.8035
212,677-11-0152,2,9,93.26,41.967
213,142-63-6033,2,5,92.36,23.09
214,656-16-1063,2,3,46.42,6.963
215,891-58-8335,2,7,29.61,10.3635
216,802-43-8934,2,1,18.28,0.914
217,560-30-5617,2,5,24.77,6.1925
218,319-74-2561,2,3,94.64,14.196
219,549-03-9315,2,8,94.87,37.948
220,790-29-1172,2,3,57.34,8.601
221,239-36-3640,2,6,45.35,13.605
222,468-01-2051,2,7,62.08,21.728
223,389-25-3394,2,5,11.81,2.9525
224,279-62-1445,2,1,12.54,0.627
225,213-72-6612,2,2,43.25,4.325
226,746-68-6593,2,2,87.16,8.716
227,836-82-5858,2,9,69.37,31.2165
228,583-72-1480,2,4,37.06,7.412
229,466-61-5506,2,6,90.7,27.21
230,721-86-6247,2,8,63.42,25.368
231,289-65-5721,2,2,81.37,8.137
232,545-46-3100,2,3,10.59,1.5885
233,418-02-5978,2,9,84.09,37.8405
234,269-04-5750,2,4,73.82,14.764
235,157-13-5295,2,10,51.94,25.97
236,645-78-8093,2,2,93.14,9.314
237,211-30-9270,2,5,17.41,4.3525
238,755-12-3214,2,5,44.22,11.055
239,346-84-3103,2,5,13.22,3.305
240,478-06-7835,2,1,89.69,4.4845
241,540-11-4336,2,9,24.94,11.223
242,448-81-5016,2,2,59.77,5.977
243,142-72-4741,2,2,93.2,9.32
244,217-58-1179,2,4,62.65,12.53
245,376-02-8238,2,8,93.87,37.548
246,530-90-9855,2,8,47.59,19.036
247,866-05-7563,2,3,81.4,12.21
248,604-70-6476,2,5,17.94,4.485
249,799-71-1548,2,4,77.72,15.544
250,785-13-7708,2,7,73.06,25.571
251,845-51-0542,2,9,46.55,20.9475
252,662-47-5456,2,10,35.19,17.595
253,883-17-4236,2,2,14.39,1.439
254,290-68-2984,2,4,23.75,4.75
255,704-11-6354,2,8,58.9,23.56
256,110-48-7033,2,4,32.62,6.524
257,366-93-0948,2,1,66.35,3.3175
258,729-09-9681,2,6,25.91,7.773
259,151-16-1484,2,4,32.25,6.45
260,380-94-4661,2,4,65.94,13.188
261,850-41-9669,2,9,75.06,33.777
262,821-07-3596,2,4,16.45,3.29
263,655-85-5130,2,4,38.3,7.66
264,447-15-7839,2,10,22.24,11.12
265,154-74-7179,2,1,54.45,2.7225
266,253-12-6086,2,7,98.4,34.44
267,808-65-0703,2,4,35.47,7.094
268,571-94-0759,2,10,74.6,37.3
269,144-51-6085,2,4,70.74,14.148
270,731-14-2199,2,10,35.54,17.77
271,783-09-1637,2,5,67.43,16.8575
272,687-15-1097,2,2,21.12,2.112
273,126-54-1082,2,9,21.54,9.693
274,633-91-1052,2,2,12.03,1.203
275,477-24-6490,2,6,99.71,29.913
276,566-19-5475,2,7,47.97,16.7895
277,526-86-8552,2,10,21.82,10.91
278,376-56-3573,2,4,95.42,19.084
279,537-72-0426,2,10,70.99,35.495
280,828-61-5674,2,10,44.02,22.01
281,136-08-6195,2,8,69.96,27.984
282,523-38-0215,2,1,37,1.85
283,490-29-1201,2,1,15.34,0.767
284,667-92-0055,2,6,99.83,29.949
285,565-17-3836,2,4,47.67,9.534
286,498-41-1961,2,5,66.68,16.67
287,593-95-4461,2,1,74.86,3.743
288,226-71-3580,2,9,23.75,10.6875
289,283-79-9594,2,7,48.51,16.9785
290,430-60-3493,2,7,94.88,33.208
291,139-20-0155,2,10,40.3,20.15
292,558-80-4082,2,7,27.85,9.7475
293,278-97-7759,2,1,62.48,3.124
294,316-68-6352,2,2,36.36,3.636
295,585-03-5943,2,10,18.11,9.055
296,211-05-0490,2,5,51.92,12.98
297,727-75-6477,2,4,28.84,5.768
298,744-02-5987,2,6,78.38,23.514
299,307-83-9164,2,4,60.01,12.002
300,779-06-0012,2,1,88.61,4.4305
301,446-47-6729,2,2,99.82,9.982
302,573-10-3877,2,1,39.01,1.9505
303,735-06-4124,2,1,48.61,2.4305
304,439-54-7422,2,4,51.19,10.238
305,396-90-2219,2,8,14.96,5.984
306,411-77-0180,2,7,72.2,25.27
307,286-01-5402,2,7,40.23,14.0805
308,803-17-8013,2,8,88.79,35.516
309,512-98-1403,2,3,26.48,3.972
310,848-42-2560,2,2,81.91,8.191
311,532-59-7201,2,6,79.93,23.979
312,181-94-6432,2,2,69.33,6.933
313,870-76-1733,2,5,14.23,3.5575
314,423-64-4619,2,9,15.55,6.9975
315,227-07-4446,2,10,78.13,39.065
316,174-36-3675,2,2,99.37,9.937
317,428-83-5800,2,3,21.08,3.162
318,603-07-0961,2,5,74.79,18.6975
319,704-20-4138,2,7,29.67,10.3845
320,787-15-1757,2,4,44.07,8.814
321,649-11-3678,2,9,22.93,10.3185
322,622-20-1945,2,1,39.42,1.971
323,372-94-8041,2,6,15.26,4.578
324,563-91-7120,2,5,61.77,15.4425
325,746-54-5508,2,6,21.52,6.456
326,276-54-0879,2,4,97.74,19.548
327,815-11-1168,2,5,99.78,24.945
328,719-76-3868,2,4,94.26,18.852
329,730-61-8757,2,4,51.13,10.226
330,340-66-0321,2,4,36.36,7.272
331,868-81-1752,2,9,22.02,9.909
332,634-97-8956,2,3,32.9,4.935
333,566-71-1091,2,5,77.02,19.255
334,442-48-3607,2,2,23.48,2.348
335,835-16-0096,2,5,14.7,3.675
336,527-09-6272,2,5,28.45,7.1125
337,898-04-2717,2,9,76.4,34.38
338,692-27-8933,2,6,57.95,17.385
339,633-09-3463,2,3,47.65,7.1475
340,374-17-3652,2,9,42.82,19.269
341,378-07-7001,2,3,48.09,7.2135
342,433-75-6987,2,7,55.97,19.5895
343,873-95-4984,2,7,76.9,26.915
344,416-13-5917,2,5,97.03,24.2575
345,150-89-8043,2,3,44.65,6.6975
346,135-84-8019,2,9,77.93,35.0685
347,441-94-7118,2,1,71.95,3.5975
348,725-96-3778,3,8,89.25,35.7
349,531-80-1784,3,7,26.02,9.107
350,400-45-1220,3,10,13.5,6.75
351,860-79-0874,3,10,99.3,49.65
352,834-61-8124,3,7,51.69,18.0915
353,115-99-4379,3,7,54.73,19.1555
354,565-67-6697,3,9,27,12.15
355,320-49-6392,3,1,30.24,1.512
356,889-04-9723,3,4,89.14,17.828
357,632-90-0281,3,10,37.55,18.775
358,554-42-2417,3,10,95.44,47.72
359,453-63-6187,3,3,27.5,4.125
360,578-80-7669,3,1,74.97,3.7485
361,612-36-5536,3,8,80.96,32.384
362,605-72-4132,3,8,94.47,37.788
363,471-41-2823,3,2,99.79,9.979
364,462-67-9126,3,6,73.22,21.966
365,272-27-9238,3,4,41.24,8.248
366,834-25-9262,3,4,81.68,16.336
367,122-61-9553,3,9,51.32,23.094
368,468-88-0009,3,4,65.94,13.188
369,613-59-9758,3,10,14.36,7.18
370,254-31-0042,3,9,21.5,9.675
371,201-86-2184,3,7,26.26,9.191
372,261-12-8671,3,2,60.96,6.096
373,730-70-9830,3,6,70.11,21.033
374,382-25-8917,3,6,42.08,12.624
375,422-29-8786,3,5,67.09,16.7725
376,667-23-5919,3,5,96.7,24.175
377,843-01-4703,3,9,35.38,15.921
378,743-88-1662,3,7,95.49,33.4215
379,595-86-2894,3,4,96.98,19.396
380,182-69-8360,3,4,23.65,4.73
381,289-15-7034,3,4,82.33,16.466
382,462-78-5240,3,2,26.61,2.661
383,868-52-7573,3,5,99.69,24.9225
384,153-58-4872,3,4,74.89,14.978
385,662-72-2873,3,5,40.94,10.235
386,525-88-7307,3,1,75.82,3.791
387,689-16-9784,3,6,46.77,14.031
388,725-56-0833,3,10,32.32,16.16
389,394-41-0748,3,9,54.07,24.3315
390,596-42-3999,3,7,18.22,6.377
391,541-89-9860,3,3,80.48,12.072
392,173-82-9529,3,10,37.95,18.975
393,563-36-9814,3,1,76.82,3.841
394,308-47-4913,3,10,52.26,26.13
395,885-17-6250,3,1,79.74,3.987
396,726-27-2396,3,5,77.5,19.375
397,316-01-3952,3,5,54.27,13.5675
398,760-54-1821,3,9,13.59,6.1155
399,793-10-3222,3,6,41.06,12.318
400,346-12-3257,3,9,19.24,8.658
401,110-05-6330,3,6,39.43,11.829
402,651-61-0874,3,4,46.22,9.244
403,236-86-3015,3,1,13.98,0.699
404,831-64-0259,3,5,39.75,9.9375
405,587-03-7455,3,7,97.79,34.2265
406,882-40-4577,3,4,67.26,13.452
407,732-67-5346,3,5,13.79,3.4475
408,725-32-9708,3,4,68.71,13.742
409,256-08-8343,3,4,56.53,11.306
410,372-26-1506,3,5,23.82,5.955
411,244-08-0162,3,10,34.21,17.105
412,569-71-4390,3,2,21.87,2.187
413,132-23-6451,3,5,20.97,5.2425
414,696-90-2548,3,3,25.84,3.876
415,472-15-9636,3,8,50.93,20.372
416,268-03-6164,3,1,96.11,4.8055
417,750-57-9686,3,4,45.38,9.076
418,186-09-3669,3,1,81.51,4.0755
419,848-07-1692,3,2,57.22,5.722
420,745-71-3520,3,7,25.22,8.827
421,266-76-6436,3,3,38.6,5.79
422,740-22-2500,3,3,84.05,12.6075
423,271-88-8734,3,10,97.21,48.605
424,301-81-8610,3,8,25.42,10.168
425,489-64-4354,3,1,16.28,0.814
426,198-84-7132,3,9,40.61,18.2745
427,269-10-8440,3,7,53.17,18.6095
428,650-98-6268,3,3,20.87,3.1305
429,741-73-3559,3,5,67.27,16.8175
430,325-77-6186,3,10,90.65,45.325
431,286-75-7818,3,2,69.08,6.908
432,574-57-9721,3,2,43.27,4.327
433,459-50-7686,3,6,23.46,7.038
434,616-87-0016,3,7,95.54,33.439
435,837-55-7229,3,1,47.44,2.372
436,751-69-0068,3,9,99.24,44.658
437,257-73-1380,3,4,82.93,16.586
438,345-08-4992,3,6,33.99,10.197
439,549-96-4200,3,4,17.04,3.408
440,810-60-6344,3,8,40.86,16.344
441,450-28-2866,3,5,17.44,4.36
442,394-30-3170,3,8,88.43,35.372
443,138-17-5109,3,9,89.21,40.1445
444,192-98-7397,3,1,12.78,0.639
445,301-11-9629,3,7,19.1,6.685
446,390-80-5128,3,1,19.15,0.9575
447,235-46-8343,3,10,27.66,13.83
448,453-12-7053,3,3,45.74,6.861
449,296-11-7041,3,1,27.07,1.3535
450,449-27-2918,3,1,39.12,1.956
451,891-01-7034,3,6,74.71,22.413
452,744-09-5786,3,6,22.01,6.603
453,727-17-0390,3,5,63.61,15.9025
454,568-88-3448,3,1,25,1.25
455,187-83-5490,3,4,20.77,4.154
456,767-54-1907,3,5,29.56,7.39
457,710-46-4433,3,9,77.4,34.83
458,533-33-5337,3,10,79.39,39.695
459,325-90-8763,3,10,46.57,23.285
460,729-46-7422,3,1,35.89,1.7945
461,639-76-1242,3,5,40.52,10.13
462,234-03-4040,3,10,73.05,36.525
463,326-71-2155,3,4,73.95,14.79
464,320-32-8842,3,1,22.62,1.131
465,470-32-9057,3,5,51.34,12.835
466,878-30-2331,3,10,54.55,27.275
467,440-59-5691,3,7,37.15,13.0025
468,554-53-3790,3,6,37.02,11.106
469,746-19-0921,3,1,21.58,1.079
470,233-34-0817,3,1,98.84,4.942
471,767-05-1286,3,6,83.77,25.131
472,340-21-9136,3,4,40.05,8.01
473,405-31-3305,3,10,43.13,21.565
474,731-59-7531,3,8,72.57,29.028
475,676-39-6028,3,5,64.44,16.11
476,502-05-1910,3,3,65.18,9.777
477,485-30-8700,3,5,33.26,8.315
478,598-47-9715,3,4,84.07,16.814
479,701-69-8742,3,10,34.37,17.185
480,575-67-1508,3,1,38.6,1.93
481,541-08-3113,3,8,65.97,26.388
482,246-11-3901,3,10,32.8,16.4
483,674-15-9296,3,5,37.14,9.285
484,305-18-3552,3,10,60.38,30.19
485,493-65-6248,3,10,36.98,18.49
486,438-01-4015,3,4,49.49,9.898
487,709-58-4068,3,10,41.09,20.545
488,795-49-7276,3,4,37.15,7.43
489,556-72-8512,3,1,22.96,1.148
490,627-95-3243,3,9,77.68,34.956
491,686-41-0932,3,2,34.7,3.47
492,510-09-5628,3,10,19.66,9.83
493,608-04-3797,3,8,25.32,10.128
494,148-82-2527,3,10,12.12,6.06
495,437-53-3084,3,2,99.89,9.989
496,632-32-4574,3,8,75.92,30.368
497,556-97-7101,3,2,63.22,6.322
498,862-59-8517,3,6,90.24,27.072
499,401-18-8016,3,1,98.13,4.9065
500,420-18-8989,3,8,51.52,20.608
501,277-63-2961,3,1,73.97,3.6985
502,573-98-8548,3,1,31.9,1.595
503,620-02-2046,3,2,69.4,6.94
504,282-35-2475,3,2,93.31,9.331
505,511-54-3087,3,1,88.45,4.4225
506,726-29-6793,3,8,24.18,9.672
507,387-49-4215,3,3,48.5,7.275
508,862-17-9201,3,6,84.05,25.215
509,291-21-5991,3,5,61.29,15.3225
510,602-80-9671,3,6,15.95,4.785
511,347-72-6115,3,7,90.74,31.759
512,209-61-0206,3,5,42.91,10.7275
513,595-27-4851,3,7,54.28,18.998
514,189-52-0236,3,7,99.55,34.8425
515,503-07-0930,3,7,58.39,20.4365
516,413-20-6708,3,1,51.47,2.5735
517,425-85-2085,3,5,54.86,13.715
518,521-18-7827,3,5,39.39,9.8475
519,220-28-1851,3,2,34.73,3.473
520,600-38-9738,3,5,71.92,17.98
521,734-91-1155,3,3,45.71,6.8565
522,451-28-5717,4,6,83.17,24.951
523,609-81-8548,4,6,37.44,11.232
524,133-14-7229,4,2,62.87,6.287
525,534-01-4457,4,6,81.71,24.513
526,719-89-8991,4,5,91.41,22.8525
527,286-62-6248,4,4,39.21,7.842
528,339-38-9982,4,2,59.86,5.986
529,827-44-5872,4,10,54.36,27.18
530,827-77-7633,4,9,98.09,44.1405
531,287-83-1405,4,6,25.43,7.629
532,435-13-4908,4,8,86.68,34.672
533,857-67-9057,4,10,22.95,11.475
534,236-27-1144,4,9,16.31,7.3395
535,892-05-6689,4,5,28.32,7.08
536,583-41-4548,4,7,16.67,5.8345
537,339-12-4827,4,1,73.96,3.698
538,643-38-7867,4,1,97.94,4.897
539,308-81-0538,4,4,73.05,14.61
540,358-88-9262,4,6,87.48,26.244
541,460-35-4390,4,3,30.68,4.602
542,343-87-0864,4,1,75.88,3.794
543,173-50-1108,4,4,20.18,4.036
544,243-47-2663,4,6,18.77,5.631
545,841-18-8232,4,1,71.2,3.56
546,701-23-5550,4,4,38.81,7.762
547,647-50-1224,4,10,29.42,14.71
548,541-48-8554,4,9,60.95,27.4275
549,539-21-7227,4,5,51.54,12.885
550,213-32-1216,4,6,66.06,19.818
551,747-58-7183,4,3,57.27,8.5905
552,582-52-8065,4,9,54.31,24.4395
553,210-57-1719,4,9,58.24,26.208
554,399-69-4630,4,6,22.21,6.663
555,134-75-2619,4,7,19.32,6.762
556,356-44-8813,4,3,37.48,5.622
557,198-66-9832,4,2,72.04,7.204
558,283-26-5248,4,10,98.52,49.26
559,712-39-0363,4,6,41.66,12.498
560,218-59-9410,4,3,72.42,10.863
561,174-75-0888,4,9,21.58,9.711
562,866-99-7614,4,10,89.2,44.6
563,134-54-4720,4,8,42.42,16.968
564,760-90-2357,4,6,74.51,22.353
565,514-37-2845,4,2,99.25,9.925
566,698-98-5964,4,10,81.21,40.605
567,718-57-9773,4,10,49.33,24.665
568,651-88-7328,4,9,65.74,29.583
569,241-11-2261,4,7,79.86,27.951
570,408-26-9866,4,7,73.98,25.893
571,834-83-1826,4,5,82.04,20.51
572,343-61-3544,4,10,26.67,13.335
573,239-48-4278,4,7,10.13,3.5455
574,355-34-6244,4,2,72.39,7.239
575,550-84-8664,4,5,85.91,21.4775
576,339-96-8318,4,7,81.31,28.4585
577,458-61-0011,4,4,60.3,12.06
578,592-34-6155,4,4,31.77,6.354
579,797-88-0493,4,4,64.27,12.854
580,207-73-1363,4,2,69.51,6.951
581,390-31-6381,4,3,27.22,4.083
582,443-82-0585,4,4,77.68,15.536
583,339-18-7061,4,2,92.98,9.298
584,359-90-3665,4,4,18.08,3.616
585,375-72-3056,4,3,63.06,9.459
586,127-47-6963,4,4,51.71,10.342
587,278-86-2735,4,3,52.34,7.851
588,695-28-6250,4,5,43.06,10.765
589,379-17-6588,4,10,59.61,29.805
590,227-50-3718,4,5,14.62,3.655
591,302-15-2162,4,6,46.53,13.959
592,788-07-8452,4,7,24.24,8.484
593,560-49-6611,4,1,45.58,2.279
594,880-35-0356,4,3,75.2,11.28
595,585-11-6748,4,3,96.8,14.52
596,470-31-3286,4,3,14.82,2.223
597,152-68-2907,4,3,52.2,7.83
598,123-35-4896,4,9,46.66,20.997
599,258-69-7810,4,5,36.85,9.2125
600,334-64-2006,4,2,70.32,7.032
601,219-61-4139,4,1,83.08,4.154
602,881-41-7302,4,1,64.99,3.2495
603,373-09-4567,4,10,77.56,38.78
604,642-30-6693,4,6,54.51,16.353
605,484-22-8230,4,7,51.89,18.1615
606,830-58-2383,4,4,31.75,6.35
607,559-98-9873,4,7,53.65,18.7775
608,544-32-5024,4,4,49.79,9.958
609,318-12-0304,4,1,30.61,1.5305
610,349-97-8902,4,2,57.89,5.789
611,421-95-9805,4,1,28.96,1.448
612,277-35-5865,4,9,98.97,44.5365
613,789-23-8625,4,3,93.22,13.983
614,284-54-4231,4,1,80.93,4.0465
615,443-59-0061,4,10,67.45,33.725
616,509-29-3912,4,9,38.72,17.424
617,327-40-9673,4,6,72.6,21.78
618,840-19-2096,4,5,87.91,21.9775
619,828-46-6863,4,6,98.53,29.559
620,641-96-3695,4,6,43.46,13.038
621,420-97-3340,4,3,71.68,10.752
622,436-54-4512,4,1,91.61,4.5805
623,670-79-6321,4,7,94.59,33.1065
624,852-62-7105,4,10,83.25,41.625
625,598-06-7312,4,1,91.35,4.5675
626,135-13-8269,4,2,78.88,7.888
627,816-57-2053,4,2,60.87,6.087
628,628-90-8624,4,10,82.58,41.29
629,856-66-2701,4,3,53.3,7.995
630,308-39-1707,4,1,12.09,0.6045
631,149-61-1929,4,10,64.19,32.095
632,655-07-2265,4,3,78.31,11.7465
633,589-02-8023,4,2,83.77,8.377
634,420-04-7590,4,3,99.7,14.955
635,182-88-2763,4,3,79.91,11.9865
636,188-55-0967,4,10,66.47,33.235
637,610-46-4100,4,7,28.95,10.1325
638,318-81-2368,4,1,46.2,2.31
639,364-33-8584,4,5,17.63,4.4075
640,665-63-9737,4,3,52.42,7.863
641,695-09-5146,4,3,98.79,14.8185
642,155-45-3814,4,8,88.55,35.42
643,794-32-2436,4,2,55.67,5.567
644,131-15-8856,4,8,72.52,29.008
645,273-84-2164,4,5,12.05,3.0125
646,706-36-6154,4,9,19.36,8.712
647,778-89-7974,4,6,70.21,21.063
648,574-31-8277,4,1,33.63,1.6815
649,859-71-0933,4,2,15.49,1.549
650,740-11-5257,4,10,24.74,12.37
651,369-82-2676,4,5,75.66,18.915
652,563-47-4072,4,6,55.81,16.743
653,742-04-5161,4,10,72.78,36.39
654,149-15-7606,4,9,37.32,16.794
655,133-77-3154,4,4,60.18,12.036
